familia, eluyente1, eluyente2, columna_nombre, columna_usp_code, columna_length, columna_id, columna_particle_size, columna_temperature, columna_flowrate, tiempo_muerto, score
Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 65.0, 0.4, 0.55125, 0.8803473491773309

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.6084741809969192

Furanoid lignans (CHEMONTID:0003686), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.8764578930300692

Neoflavonoids (CHEMONTID:0001614), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0.9018940609951845

Neoflavonoids (CHEMONTID:0001614), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 0

Neoflavonoids (CHEMONTID:0001614), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 1.0003704214038989

Neoflavonoids (CHEMONTID:0001614), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.8796768387123781

Neoflavonoids (CHEMONTID:0001614), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.46313645621181265

Tetrazines (CHEMONTID:0000092), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0

Allyl-type 1-3-dipolar organic compounds (CHEMONTID:0003631), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 98.03921568627452, 2.056862745098039, 1.7, 38.0, 0.24, 0.895845316696432, 0.02166989321176544

Allyl-type 1-3-dipolar organic compounds (CHEMONTID:0003631), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0.43221466009543924

Ochratoxins and related substances (CHEMONTID:0001787), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.3, 0.735, 0

Ochratoxins and related substances (CHEMONTID:0001787), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.9734239566230096

Saccharolipids (CHEMONTID:0003918), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.21518987341772153

Saccharolipids (CHEMONTID:0003918), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8265887059547622

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8273557757305366

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.9065666870706659

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8304760778749901

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8984405961919529

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8301950569661783

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8984226365491715

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.826687480240278

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.893480913369357

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex HILIC, column.usp.code_L3, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex HILIC, column.usp.code_L3, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8284532145130489

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8970176992687546

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8290506354328514

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8980151770364838

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8946617271779399

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0.8701898980898813

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex PS C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.acn 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 0

Pyrenes (CHEMONTID:0001851), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Kinetex EVO C18, column.usp.code_L1, 150.0, 3.0, 2.6, 40.0, 0.35, 1.9285714285714288, 1.4077979887434893

Lignan glycosides (CHEMONTID:0001511), eluent.1.h2o 0, eluent.2.acn 0, Agilent InfinityLab Poroshell 120 EC-C18, column.usp.code_L1, 100.0, 3.0, 2.7, 25.0, 0.4, 1.125, 0

Lignan glycosides (CHEMONTID:0001511), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.6191304780133734

Lignan glycosides (CHEMONTID:0001511), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.7948119710692089

Benzocycloheptapyridines (CHEMONTID:0002351), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 1.6504682358896479

Benzocycloheptapyridines (CHEMONTID:0002351), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH Amide, column.usp.code_L68, 100.0, 2.1, 1.7, 40.0, 0.5, 0.4571959788769226, 6.80572404177248

Benzocycloheptapyridines (CHEMONTID:0002351), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH Amide, column.usp.code_L68, 100.0, 2.1, 1.7, 40.0, 0.5, 0.4571959788769226, 0.14693513781372194

Benzocycloheptapyridines (CHEMONTID:0002351), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 0

Benzocycloheptapyridines (CHEMONTID:0002351), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 0

Benzocycloheptapyridines (CHEMONTID:0002351), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0.61395908543923

Benzocycloheptapyridines (CHEMONTID:0002351), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0

Benzocycloheptapyridines (CHEMONTID:0002351), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.70934161012992

Thiazines (CHEMONTID:0000094), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.acn 0, Waters Symmetry C18, column.usp.code_L1, 100.0, 2.1, 2.939114724480578, 38.800043464517145, 0.3379565217391304, 0.6764124221130337, 16.765174078091082

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0.026610249177244943

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH Amide, column.usp.code_L68, 100.0, 2.1, 1.7, 40.0, 0.5, 0.4571959788769226, 3.318055669387563

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH Amide, column.usp.code_L68, 100.0, 2.1, 1.7, 40.0, 0.5, 0.4571959788769226, 3.318055669387563

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Synergi Polar-RP, column.usp.code_L11, 100.0, 1.0, 100.0, 40.0, 0.4, 0.125, 1.2150375939849622

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 1.6076685534842388

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 0

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.5419955359268862

Isoquinolines and derivatives (CHEMONTID:0002566), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0.5019130434782609

Isoquinolines and derivatives (CHEMONTID:0002566), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0.5019130434782609

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.4761330939674889

Isoquinolines and derivatives (CHEMONTID:0002566), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.2238475303206749

Thiochromanes (CHEMONTID:0002834), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0.8495796409906838

Thiochromanes (CHEMONTID:0002834), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0

Thiochromanes (CHEMONTID:0002834), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.meoh 0, Waters XBridge C18, column.usp.code_L1, 50.0, 2.1, 3.5, 30.0, 0.2, 0.55125, 0.24402445803224018

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.3, 0.735, 2.1576470588235295

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC HSS T3, column.usp.code_L1, 113.15789473684212, 2.0368421052631582, 1.788888888888889, 38.75, 0.1, 2.433511506058683, 1.4708488462165101

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0.8684783424667815

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH Amide, column.usp.code_L68, 100.0, 2.1, 1.7, 40.0, 0.5, 0.4571959788769226, 0.6395925484185188

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH Amide, column.usp.code_L68, 100.0, 2.1, 1.7, 40.0, 0.5, 0.4571959788769226, 0.6395925484185188

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.meoh 0, Phenomenex Synergi Polar-RP, column.usp.code_L11, 100.0, 1.0, 100.0, 40.0, 0.4, 0.125, 1.0103613177470776

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 0.5855301884272996

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, None, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 1.0, 1.7, 50.0, 0.3, 0.1666666666666666, 0.854926700281549

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0

Morphinans (CHEMONTID:0000058), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0.38294010889292185

Morphinans (CHEMONTID:0000058), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0.38294010889292185

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0

Morphinans (CHEMONTID:0000058), None, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.meoh 0, Thermo Scientific Acclaim RSLC 120 C18, column.usp.code_L1, 100.0, 2.1, 2.2, 30.0, 0.2, 1.1025, 0

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 35.0, 0.35, 0.63, 0

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 30.0, 0.35, 0.63, 0

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 30.0, 0.35, 0.63, 0

Morphinans (CHEMONTID:0000058), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.8661550521929282

Pyrrolopyrimidines (CHEMONTID:0001799), eluent.1.h2o 0, eluent.2.acn 0, Agilent ZORBAX Extend-C18, column.usp.code_L1, 50.0, 2.1, 1.8, 35.0, 0.1, 1.1025, 0.5566069947807425

Pyrrolopyrimidines (CHEMONTID:0001799), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 50.0, 2.1, 1.7, 40.0, 0.6, 0.18375, 0.30188173705146437

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.acn 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 98.03921568627452, 2.056862745098039, 1.7, 38.0, 0.24, 0.895845316696432, 0.9480993216247818

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.acn 0, Merck SeQuant ZIC-HILIC, column.usp.code_L114, 145.45454545454547, 2.1000000000000005, 4.863636363636363, 25.0, 0.25, 1.3300246658237755, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.3, 0.735, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.acn 0, Thermo Scientific Hypersil GOLD, column.usp.code_L1, 113.75, 2.1, 1.9, 40.0, 0.4, 0.6500755324656243, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Thermo Scientific Accucore C18, column.usp.code_L1, 100.0, 2.1, 2.6, 36.36363636363637, 0.2, 1.1025, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Merck Supelco Ascentis Express C18, column.usp.code_L1, 100.0, 2.1, 5.0, 40.78947368421053, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Merck Supelco Ascentis Express ES-Cyano, column.usp.code_L10, 100.0, 2.1, 2.7, 40.78947368421053, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Merck Supelco Ascentis Express F5 (PFP), column.usp.code_L43, 100.0, 2.1, 2.7, 40.78947368421053, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Merck Supelco Ascentis Express Phenyl-Hexyl, column.usp.code_L11, 100.0, 2.1, 2.7, 40.78947368421053, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.1, 2.205, 0

Organic phosphonic acids and derivatives (CHEMONTID:0000419), eluent.1.h2o 0, eluent.2.meoh 0, Waters ACQUITY UPLC BEH C18, column.usp.code_L1, 100.0, 2.1, 1.7, 40.54166666666666, 0.2, 1.1025, 0

