Aryltetralin lignans (CHEMONTID:0003425), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0
Neoflavonoids (CHEMONTID:0001614), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666)), 0

Neoflavonoids (CHEMONTID:0001614), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666)), 0.0003644883020011993

Neoflavonoids (CHEMONTID:0001614), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.020520325709570464

Neoflavonoids (CHEMONTID:0001614), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 2.011667672504748e-05

Tetrazines (CHEMONTID:0000092), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0

Allyl-type 1,3-dipolar organic compounds (CHEMONTID:0003631), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=98.03921568627452, id=2.056862745098039, particle_size=1.7, temperature=38.0, flowrate=0.24, t0=0.895845316696432)), 0.0002072538860103675

Allyl-type 1,3-dipolar organic compounds (CHEMONTID:0003631), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0.0013237115162901408

Ochratoxins and related substances (CHEMONTID:0001787), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.7, temperature=40.54166666666666, flowrate=0.3, t0=0.735)), 0

Ochratoxins and related substances (CHEMONTID:0001787), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.025388487634055604

Saccharolipids (CHEMONTID:0003918), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.0

Saccharolipids (CHEMONTID:0003918), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.15231788079470204

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.15273292668341118

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.08381379457612644

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.14962259556854152

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.09097784981091307

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.14971162105779837

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.0909583694709454

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.15291676836709797

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.09530567685589512

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex HILIC, usp_code=column.usp.code_L3, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex HILIC, usp_code=column.usp.code_L3, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.15123987232997801

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.09217542714114697

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.1506882989183873

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.09128495267109132

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.09406924587435858

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.11284310403253141

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0

Pyrenes (CHEMONTID:0001851), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288)), 0.2811194653299917

Lignan glycosides (CHEMONTID:0001511), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent InfinityLab Poroshell 120 EC-C18, usp_code=column.usp.code_L1, length=100.0, id=3.0, particle_size=2.7, temperature=25.0, flowrate=0.4, t0=1.125)), 0

Lignan glycosides (CHEMONTID:0001511), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.0

Lignan glycosides (CHEMONTID:0001511), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.0019791990065196685

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0.3691467968974432

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH Amide, usp_code=column.usp.code_L68, length=100.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.5, t0=0.4571959788769226)), 0.773469387755102

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH Amide, usp_code=column.usp.code_L68, length=100.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.5, t0=0.4571959788769226)), 0.773469387755102

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666)), 0

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666)), 0

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025)), 0.1296779808529156

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025)), 0

Benzocycloheptapyridines (CHEMONTID:0002351), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.06287714475916416

Thiazines (CHEMONTID:0000094), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters Symmetry C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.939114724480578, temperature=38.800043464517145, flowrate=0.3379565217391304, t0=0.6764124221130337)), 0.8645479608834785

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0.0

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH Amide, usp_code=column.usp.code_L68, length=100.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.5, t0=0.4571959788769226)), 0.619753086419753

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH Amide, usp_code=column.usp.code_L68, length=100.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.5, t0=0.4571959788769226)), 0.619753086419753

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Synergi Polar-RP, usp_code=column.usp.code_L11, length=100.0, id=1.0, particle_size=100.0, temperature=40.0, flowrate=0.4, t0=0.125)), 0.17452568512149114

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666)), 0.3715356627755411

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=None, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=1.0, particle_size=1.7, temperature=50.0, flowrate=0.3, t0=0.1666666666666666)), 0

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.14533945721499755

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025)), 0.4318455971049457

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025)), 0.4318455971049457

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.0023005097207813184

Isoquinolines and derivatives (CHEMONTID:0002566), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375)), 0.0

Thiochromanes (CHEMONTID:0002834), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Agilent ZORBAX Extend-C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.8, temperature=35.0, flowrate=0.1, t0=1.1025)), 0.002615998898526895

Thiochromanes (CHEMONTID:0002834), Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025)), 0

Thiochromanes (CHEMONTID:0002834), Config(eluyente1=None, eluyente2=eluent.2.meoh 0, columna=Column(name=Thermo Scientific Acclaim RSLC 120 C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=2.2, temperature=30.0, flowrate=0.2, t0=1.1025)), 0

Morphinans (CHEMONTID:0000058), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters XBridge C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=3.5, temperature=30.0, flowrate=0.2, t0=0.55125)), 0.25757575757575757

Morphinans (CHEMONTID:0000058), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=100.0, id=2.1, particle_size=1.7, temperature=40.54166666666666, flowrate=0.3, t0=0.735)), 0.46240601503759404

Morphinans (CHEMONTID:0000058), Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC HSS T3, usp_code=column.usp.code_L1, length=113.15789473684212, id=2.0368421052631582, particle_size=1.788888888888889, temperature=38.75, flowrate=0.1, t0=2.433511506058683)), 0.16796875000000006

